statement,category
Supreme Court affirms provinces lack constitutional competence to levy sales tax on services provided by the federal Civil Aviation Authority.,Constitutional
Appeal: fraudulent land transaction by illiterate widow (Hiba-bil-Iwaz) set aside; lower courts' findings reversed due to misreading.,Civil
SC restores lower court findings; High Court exceeded second appeal jurisdiction re-appraising evidence in specific performance dispute.,Civil
No case details provided. Unable to extract summary.,Civil
"PTCL sought customs duty refund on imported telecom equipment; SC interpreted SRO 457, Customs Act, and unjust enrichment doctrine.",Civil
"Civil appeal challenging dismissal of suit withdrawal with permission to file fresh suit, interpreting Order 23 Rule 2 CPC.",Civil
"Appeals against High Court orders regarding public interest, fundamental rights, and governmental actions under various ordinances dismissed.",Constitutional
Appeals dismissed concerning state institutions' adherence to constitutional/legal requirements for public welfare and fundamental rights.,Constitutional
Specific performance for land sale agreement challenged; Section 19 Colonization Act validity and bona fide purchase affirmed; appeal dismissed.,Civil
"Pre-emption claim dismissed due to non-observance of essential Talbs formalities under Khyber Pakhtunkhwa Pre-emption Act, 1987.",Civil
Writ jurisdiction for bank employees lacking statutory service rules and master-servant relationship; urges legislative reforms.,Constitutional
"Female educator denied appointment in boys' school based on discriminatory gender-based policy, violating constitutional equality principles.",Constitutional
Supreme Court clarifies consumer protection limitation period; dismisses defective car claim due to lack of proof and time bar.,Civil
Empty judgment text; unable to derive case details for analysis.,Civil
Civil servant seniority dispute regarding transferees versus promotees in Ministry of Housing and Works under 1993 Seniority Rules.,Civil
"Appeal interpreting Limitation Act S.12(5) on ""time requisite"" for certified copy fee exclusion in a time-barred financial case.",Civil
"SC upholds injunction against illegal residential-to-commercial plot conversion in Cantonment, orders nationwide removal of such constructions.",Civil
Property ownership dispute involving benami transaction claim for a house between successors of closely related family members.,Civil
"Industrial relations law retrospective effect, Labour Court jurisdiction during interregnum period, and de facto doctrine application.",Constitutional
"Government employees dispute eligibility for 10% pension increase after 01.03.1997, having received salary raise while in service.",Civil
"Government employees claim 10% pension increase post-01.03.1997 after salary hike, disputing ad-hoc relief cutoff date.",Civil
"Property possession suit; adverse possession claim rejected, affirming High Court's decree for plaintiffs over disputed allotment.",Civil
"Civil servants' seniority dispute involving FPSC merit, departmental lists, promotions to BS-18, and delayed challenges.",Civil
"KPK Government denied ad-hoc relief allowance to High Court employees, upheld classification based on intelligible differentia, reversing High Court's judicial review.",Constitutional
Pre-emption suits; limitation for land sale registration; superior pre-emption rights; admissibility of new legal points in appeal.,Civil
"Government employee removed from service for unauthorized absence; Supreme Court restores removal, setting aside Tribunal's penalty modification.",Civil
"Appeals regarding Customs Act, 1969: whether FBR SRO 574 on redemption fines for smuggled goods is ultra vires Section 223 concerning quasi-judicial discretion.",Constitutional
Supreme Court modifies compulsory retirement to demotion with back and pensionary benefits for bank employee dismissed for negligence.,Civil
No judgment text provided for analysis; unable to extract case details or categorize.,Civil
"No judgment text provided, unable to derive case statement.",Civil
No judgment text provided for analysis; cannot extract case specifics.,Civil
"Supreme Court dismisses pre-emption land dispute appeal, affirming unproven Talb-e-Ishhad service as grounds for suit failure.",Civil
Skill Development Council's unauthorized diplomas for education/art and related appointments; court conditionally affirms employment based on qualifications.,Civil
"Supreme Court denies ad-hoc Pakistan Railways employees regularization, seniority, and back benefits, overturning Federal Service Tribunal.",Civil
"Inheritance land dispute; heirship proved, but suit challenging mutations dismissed as time-barred against bona fide purchasers under Limitation Act.",Civil
"Supreme Court restores ""WELLA"" trademarks, ruling import ban constituted special circumstances against non-use claims under Trademarks Act, 1940.",Civil
"SC rules on Pakistan Railways' daily-wager regularization, affirming 2012 policy, not initial appointment date.",Civil
Civil appeal challenging election results (PB-08 Barkhan); Supreme Court dismissed petition for non-maintainability due to improper verification.,Civil
"Supreme Court upholds agreed rent increase in tenancy dispute, clarifying Section 7(5) of Cantonments Rent Restriction Act, allowing eviction.",Civil
SC dismisses appeal against High Court striking down Pervez Musharraf's ECL placement; interim order merged with final judgment.,Constitutional
Judgment text missing; unable to perform analysis.,Civil
Appeal against election nullification over alleged bogus voting and counterfoil irregularities; insufficient evidence found to void election.,Civil
"Discontinuation of special/utility allowances for Solicitor Office employees, deemed part of Civil Secretariat, violating equal protection (Article 25).",Civil
PESCO challenges promotion quota for Junior Engineers; Labour Court lacked jurisdiction to mandate WAPDA policy adoption for promotion.,Civil
"University of Malakand appeals study leave with full pay for regularized staff, interpreting service rules, addressing laches and estoppel.",Civil
"Land dispute over proprietary rights and possession, challenging revenue record admissibility (Jamabandi/Khasra Girdawari) in appellate courts.",Civil
"PTCL challenges EOBI contributions; court rules it's not a statutory body, thus liable under Employees Old-Age Benefits Act.",Civil
