statement,priority
Appeals dismissed concerning state institutions' adherence to constitutional/legal requirements for public welfare and fundamental rights.,High
Specific performance for land sale agreement challenged; Section 19 Colonization Act validity and bona fide purchase affirmed; appeal dismissed.,Medium
"Pre-emption claim dismissed due to non-observance of essential Talbs formalities under Khyber Pakhtunkhwa Pre-emption Act, 1987.",Low
Writ jurisdiction for bank employees lacking statutory service rules and master-servant relationship; urges legislative reforms.,High
"Female educator denied appointment in boys' school based on discriminatory gender-based policy, violating constitutional equality principles.",High
Supreme Court clarifies consumer protection limitation period; dismisses defective car claim due to lack of proof and time bar.,Medium
Empty judgment text; unable to derive case details for analysis.,Low
Civil servant seniority dispute regarding transferees versus promotees in Ministry of Housing and Works under 1993 Seniority Rules.,Medium
"Appeal interpreting Limitation Act S.12(5) on ""time requisite"" for certified copy fee exclusion in a time-barred financial case.",Medium
"SC upholds injunction against illegal residential-to-commercial plot conversion in Cantonment, orders nationwide removal of such constructions.",High
Property ownership dispute involving benami transaction claim for a house between successors of closely related family members.,Medium
"Industrial relations law retrospective effect, Labour Court jurisdiction during interregnum period, and de facto doctrine application.",High
"Government employees dispute eligibility for 10% pension increase after 01.03.1997, having received salary raise while in service.",Medium
"Government employees claim 10% pension increase post-01.03.1997 after salary hike, disputing ad-hoc relief cutoff date.",Medium
"Property possession suit; adverse possession claim rejected, affirming High Court's decree for plaintiffs over disputed allotment.",Low
"Civil servants' seniority dispute involving FPSC merit, departmental lists, promotions to BS-18, and delayed challenges.",Medium
"KPK Government denied ad-hoc relief allowance to High Court employees, upheld classification based on intelligible differentia, reversing High Court's judicial review.",Medium
Pre-emption suits; limitation for land sale registration; superior pre-emption rights; admissibility of new legal points in appeal.,Medium
"Government employee removed from service for unauthorized absence; Supreme Court restores removal, setting aside Tribunal's penalty modification.",Medium
"Appeals regarding Customs Act, 1969: whether FBR SRO 574 on redemption fines for smuggled goods is ultra vires Section 223 concerning quasi-judicial discretion.",Medium
Supreme Court modifies compulsory retirement to demotion with back and pensionary benefits for bank employee dismissed for negligence.,Medium
No judgment text provided for analysis; unable to extract case details or categorize.,Low
"No judgment text provided, unable to derive case statement.",Low
No judgment text provided for analysis; cannot extract case specifics.,Low
"Supreme Court dismisses pre-emption land dispute appeal, affirming unproven Talb-e-Ishhad service as grounds for suit failure.",Low
Skill Development Council's unauthorized diplomas for education/art and related appointments; court conditionally affirms employment based on qualifications.,Medium
"Supreme Court denies ad-hoc Pakistan Railways employees regularization, seniority, and back benefits, overturning Federal Service Tribunal.",Medium
"Inheritance land dispute; heirship proved, but suit challenging mutations dismissed as time-barred against bona fide purchasers under Limitation Act.",Low
"Supreme Court restores ""WELLA"" trademarks, ruling import ban constituted special circumstances against non-use claims under Trademarks Act, 1940.",Medium
"SC rules on Pakistan Railways' daily-wager regularization, affirming 2012 policy, not initial appointment date.",Medium
Civil appeal challenging election results (PB-08 Barkhan); Supreme Court dismissed petition for non-maintainability due to improper verification.,High
"Supreme Court upholds agreed rent increase in tenancy dispute, clarifying Section 7(5) of Cantonments Rent Restriction Act, allowing eviction.",Medium
SC dismisses appeal against High Court striking down Pervez Musharraf's ECL placement; interim order merged with final judgment.,High
Judgment text missing; unable to perform analysis.,Low
Appeal against election nullification over alleged bogus voting and counterfoil irregularities; insufficient evidence found to void election.,High
"Discontinuation of special/utility allowances for Solicitor Office employees, deemed part of Civil Secretariat, violating equal protection (Article 25).",Medium
PESCO challenges promotion quota for Junior Engineers; Labour Court lacked jurisdiction to mandate WAPDA policy adoption for promotion.,Medium
"University of Malakand appeals study leave with full pay for regularized staff, interpreting service rules, addressing laches and estoppel.",Medium
"Land dispute over proprietary rights and possession, challenging revenue record admissibility (Jamabandi/Khasra Girdawari) in appellate courts.",Medium
"PTCL challenges EOBI contributions; court rules it's not a statutory body, thus liable under Employees Old-Age Benefits Act.",Medium
Civil Appeal against mutation cancellation; examines burden of proof for alleged fraud involving a parda-nasheen lady.,Medium
"Supreme Court held High Court's jurisdiction invalid in Balochistan DSP seniority list dispute under Article 212(2), upholding separate branch seniority.",Medium
"Inheritance dispute: great-grandchildren's claim challenged by 30-year delay, third-party interests, and limitation period.",Medium
Supreme Court determines sales tax liability of non-banking company providing safe deposit services under Sindh Sales Tax on Services Act 2011.,Medium
"Landowners appeal enhanced compensation for acquired commercial land under Land Acquisition Act, 1894, disputing market value assessment.",Medium
